Sample,Axis1,Axis2,Pop
PR1_5,-19.03160757,0.960055513,PR1
PR1_6,-19.99757639,1.623046702,PR1
PR1_7,-7.40374587,-2.168878029,PR1
PR2_1,-20.27977958,1.702859294,PR2
PR2_2,-18.1330755,1.667079864,PR2
PR2_3,0.0735215,-0.079406508,PR2
PR2_4,-7.26810155,2.551890617,PR2
PR2_5,0.20543298,-0.118908246,PR2
PR2_6,-13.97574028,1.710169837,PR2
PR2_7,-21.91651571,1.788962055,PR2
PR2_8,-17.27492326,1.630637873,PR2
SC1_1,-20.66159027,1.246699329,SC1
SC1_2,-2.70201634,-1.868210499,SC1
SC1_3,-21.11839444,0.543347515,SC1
SC1_4,-22.85022281,1.267939712,SC1
SC1_5,-22.23180876,0.137872868,SC1
SC1_6,-7.80511292,-2.949756357,SC1
SC1_7,-7.12073207,-0.0287562,SC1
SC1_8,-19.78650234,0.470578543,SC1
SC1_9,-5.16929393,3.008849061,SC1
SP1_1,0.30147141,0.38649319,SP1
SP1_2,-0.09922869,1.694158294,SP1
SP1_3,-0.7750405,2.285298743,SP1
SP1_4,0.48005464,2.033874581,SP1
SP1_5,0.26213776,1.989737925,SP1
SQ1_1,-3.75552141,-0.623288844,SQ1
SQ1_10,-20.05784617,1.858969937,SQ1
SQ1_10A,-24.70090151,1.543429998,SQ1
SQ1_2,-21.76477843,1.234931925,SQ1
SQ1_3,-12.13915492,0.866687811,SQ1
SQ1_4,-3.52479777,-1.980429258,SQ1
SQ1_5,-16.90622212,0.144232531,SQ1
SQ1_6,-18.78276726,1.279268324,SQ1
SQ1_7,-22.76599526,1.014440209,SQ1
SQ1_8,-22.77836698,1.700985313,SQ1
SQ1_8A,-25.87162515,1.739596389,SQ1
SQ1_9,-21.9336714,1.525004711,SQ1
UW4_1,14.88591498,-0.816487556,UW4
UW4_2,19.13487186,-0.687050736,UW4
UW4_3,11.44530915,-1.514459961,UW4
UW4_4,-2.5744647,1.467144299,UW4
UW4_5,15.62361082,-0.373643179,UW4
WC1_2,13.72861106,-8.145337172,WC1
WC1_3,15.01356685,-9.55629921,WC1
WC1_5,0.47006855,-2.948396612,WC1
WH1_1,0.61611492,-7.837975307,WH1
WH1_2,1.52804845,-7.484835895,WH1
WH1_3,1.13254939,-11.33066741,WH1
WH1_4,-0.32601687,-11.2315722,WH1
WH1_5,0.97638742,0.003952897,WH1
WH1_6,-0.07864721,-10.52127821,WH1
WH1_7,0.84035035,-10.91650085,WH1
WH1_8,0.75714683,-9.287907486,WH1
WH1_9,0.54789443,-11.32223652,WH1
